trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.5, 'e': 0.00039211841976276833}",20,14,8.711637606093188,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.00038446751249519417}",30,23,10.944338191410406,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.00037703836365350174}",20,13,14.642689767496814,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.0003698224852071006}",25,7,22.78797982722108,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.00036281179138321996}",25,12,20.222209320166506,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.000355998576005696}",30,0,6.879995999032802,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.0003493754913092847}",25,9,27.63704611262294,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.0003429355281207133}",20,16,6.565429205480137,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.00033667199730662403}",20,0,16.483511169512237,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.00033057851239669424}",35,0,-0.874532546961754,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.00032464897329762194}",20,7,18.944749543583402,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.00031887755102040814}",30,0,34.047733849727976,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
